Name,  Ordered Qty,  Placed Qty,  Weight,  Gross,  Material,  Thickness, Length , Width, Area,,,,
---------------------------------------------------------------------------------------------------------,,,,,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.RE.001.01.BB.DFT,  4,  4,  0.71,  0.71,  ACO NBR 7008 ZC,  1.95,  570 ,  81.8, 0.046 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.SU.001.01.BB.DFT,  4,  4,  0.78,  0.78,  ACO NBR 7008 ZC,  1.95,  460 ,  112.4, 0.051 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.SU.003.01.BB.DFT,  1,  1,  1.44,  1.44,  ACO NBR 7008 ZC,  1.95,  1210.8 ,  79.4, 0.094 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.SU.037.01.BB.DFT,  1,  1,  0.04,  0.04,  ACO NBR 7008 ZC,  1.95,  67.4 ,  40, 0.003 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.FE.003.01.BB.DFT,  2,  2,  1.73,  1.73,  ACO NBR 7008 ZC,  1.95,  630 ,  180, 0.113 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.FL.001.03.BB.DFT,  2,  2,  1.13,  1.13,  ACO NBR 7008 ZC,  1.95,  640 ,  119, 0.074 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.PE.001.01.CB.DFT,  2,  2,  9.62,  9.62,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  1046.4 ,  606.4, 0.628 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.RE.002.01.BB.DFT,  6,  6,  0.67,  0.67,  ACO NBR 7008 ZC,  1.95,  870 ,  51.2, 0.044 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.RE.003.01.BB.DFT,  8,  8,  1.02,  1.02,  ACO NBR 7008 ZC,  1.95,  482 ,  144.8, 0.067 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.RE.003.02.BB.DFT,  2,  2,  1.02,  1.02,  ACO NBR 7008 ZC,  1.95,  482 ,  144.8, 0.066 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.RE.004.01.BB.DFT,  2,  2,  0.52,  0.52,  ACO NBR 7008 ZC,  1.95,  480 ,  71.4, 0.034 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.SU.004.01.BB.DFT,  2,  2,  2.28,  2.28,  ACO NBR 7008 ZC,  1.95,  660 ,  227.4, 0.149 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.SU.005.01.BB.DFT,  1,  1,  0.28,  0.28,  ACO NBR 7008 ZC,  1.95,  194.8 ,  100, 0.018 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.BA.002.01.BB.DFT,  1,  1,  15.48,  15.48,  ACO NBR 7008 ZC,  1.95,  1048.1 ,  970, 1.011 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.CH.002.01.BB.DFT,  1,  1,  17.77,  17.77,  ACO NBR 7008 ZC,  1.95,  1203.1 ,  970, 1.161 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.CL.003.01.BB.DFT,  1,  1,  27.11,  27.11,  ACO NBR 7008 ZC,  1.95,  1792.4 ,  1030.6, 1.771 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.CL.004.01.BB.DFT,  1,  1,  27.88,  27.88,  ACO NBR 7008 ZC,  1.95,  1792.4 ,  1030.6, 1.822 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.FE.004.02.BB.DFT,  1,  1,  11.13,  11.13,  ACO NBR 7008 ZC,  0.95,  1610 ,  960, 1.492 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.RE.013.01.BB.DFT,  2,  2,  2.52,  2.52,  ACO NBR 7008 ZC,  1.95,  1645 ,  100.1, 0.164 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.PE.002.04.CB.DFT,  1,  1,  23.36,  23.36,  ACO NBR 7008 ZC PRE PINTADA,  1.95,  1531.4 ,  1006.4, 1.526 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.RE.005.01.BB.DFT,  2,  2,  1.06,  1.06,  ACO NBR 7008 ZC,  1.95,  1355 ,  51.2, 0.069 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.RE.006.01.BB.DFT,  4,  4,  1.90,  1.9,  ACO NBR 7008 ZC,  1.95,  882 ,  144.8, 0.124 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.RE.006.02.BB.DFT,  1,  1,  1.90,  1.9,  ACO NBR 7008 ZC,  1.95,  882 ,  144.8, 0.124 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\CM.P.AESA4.030.DFT,  2,  2,  0.33,  0.33,  ACO NBR 7008 ZC,  1.95,  290.8 ,  133.2, 0.022 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\CM.P.AESA4.031.DFT,  2,  2,  0.19,  0.19,  ACO NBR 7008 ZC,  1.95,  150.9 ,  86.7, 0.012 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.SU.006.01.BB.DFT,  1,  1,  1.60,  1.6,  ACO NBR 7008 ZC,  1.95,  660 ,  174.8, 0.104 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.SU.011.01.BB.DFT,  2,  2,  0.23,  0.23,  ACO NBR 7008 ZC,  1.95,  148.6 ,  100, 0.015 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.SU.012.01.BB.DFT,  1,  1,  4.81,  4.81,  ACO NBR 7008 ZC,  1.95,  820 ,  386.1, 0.314 M²,,,,
Z:\PROCESSO\E-2024\Ordem de serviço 1\ITEM 1\PROGRAMAÇÃO\NP.P.SU.013.01.BB.DFT,  2,  2,  2.01,  2.01,  ACO NBR 7008 ZC,  1.95,  820 ,  160.4, 0.131 M²,,,,
